model,f1,roc_auc,average_precision,accuracy,train_f1,train_roc_auc,train_average_precision,train_accuracy
AdaBoost,0.6809815950920245,0.759590349631433,0.6814496792399184,0.6985507246376812,0.7037279267495095,0.7833789452780777,0.7071193163604342,0.7184586699813549
Neural Network,0.6929824561403508,0.7513271792790965,0.6415609336461661,0.6956521739130435,0.7297464440321583,0.7968499832445917,0.7359214092351022,0.728402734617775
Random Forest,0.6719242902208201,0.7489855954554676,0.6551377546732486,0.6985507246376812,0.6918918918918918,0.7811891065023396,0.700868631056372,0.7165941578620261
Logistic Regression,0.6790697674418604,0.7456634205721242,0.6463193365263767,0.7,0.6935270805812417,0.7737290712539251,0.6958973598352585,0.711622125543816
KNN,0.6597014925373135,0.7164527963751944,0.6099239947253244,0.6695652173913044,0.7467330429371499,0.8291087984510557,0.8007711724298672,0.7470478558110628
